iter	Passed	Remaining
440	1898	2405
441	1902	2401
442	1906	2396
443	1911	2393
444	1915	2389
445	1919	2384
446	1923	2379
447	1927	2374
448	1930	2369
449	1934	2364
450	1939	2360
451	1943	2355
452	1946	2350
453	1952	2348
454	1959	2347
455	1964	2343
456	1968	2338
457	1972	2333
458	1975	2328
459	1979	2324
460	1983	2319
461	1988	2315
462	1991	2310
463	1996	2305
464	2001	2303
465	2007	2300
466	2012	2297
467	2016	2292
468	2020	2287
469	2024	2282
470	2027	2277
471	2031	2272
472	2035	2267
473	2039	2262
474	2042	2257
475	2046	2252
476	2048	2246
477	2052	2241
478	2056	2236
479	2059	2231
480	2063	2226
481	2067	2221
482	2071	2217
483	2074	2212
484	2078	2207
485	2082	2202
486	2086	2197
487	2090	2193
488	2093	2188
489	2097	2183
490	2101	2178
491	2105	2173
492	2109	2169
493	2113	2164
494	2118	2160
495	2121	2156
496	2125	2151
497	2129	2146
498	2133	2141
499	2137	2137
500	2141	2133
501	2145	2128
502	2150	2124
503	2154	2119
504	2157	2115
505	2161	2110
506	2165	2105
507	2169	2101
508	2173	2097
509	2177	2092
510	2182	2088
511	2185	2083
512	2189	2078
513	2193	2073
514	2197	2069
515	2200	2064
516	2204	2059
517	2208	2055
518	2212	2050
519	2217	2046
520	2221	2042
521	2225	2037
522	2229	2033
523	2232	2028
524	2236	2023
525	2240	2018
526	2243	2013
527	2246	2008
528	2251	2004
529	2257	2001
530	2262	1997
531	2266	1993
532	2270	1989
533	2274	1984
534	2278	1980
535	2282	1975
536	2286	1971
537	2290	1966
538	2294	1962
539	2298	1957
540	2302	1953
541	2305	1948
542	2310	1944
543	2313	1939
544	2317	1935
545	2321	1930
546	2325	1925
547	2329	1921
548	2332	1916
549	2336	1912
550	2340	1907
551	2344	1902
552	2348	1898
553	2352	1893
554	2356	1889
555	2359	1884
556	2364	1880
557	2368	1875
558	2372	1871
559	2375	1866
560	2380	1862
561	2384	1858
562	2388	1853
563	2392	1849
564	2396	1845
565	2400	1840
566	2404	1836
567	2409	1832
568	2412	1827
569	2416	1823
570	2420	1818
571	2424	1813
572	2428	1809
573	2431	1804
574	2436	1800
575	2439	1795
576	2444	1791
577	2448	1787
578	2452	1782
579	2456	1778
580	2460	1774
581	2464	1770
582	2468	1765
583	2472	1761
584	2476	1756
585	2479	1752
586	2483	1747
587	2487	1742
588	2491	1738
589	2495	1734
590	2499	1729
591	2503	1725
592	2507	1720
593	2511	1716
594	2514	1711
595	2518	1707
596	2522	1703
597	2526	1698
598	2530	1693
599	2534	1689
600	2538	1685
601	2543	1681
602	2547	1677
603	2551	1672
604	2555	1668
605	2558	1663
606	2562	1659
607	2566	1654
608	2570	1650
609	2574	1645
610	2577	1641
611	2582	1636
612	2585	1632
613	2589	1627
614	2592	1623
615	2596	1618
616	2600	1614
617	2604	1609
618	2608	1605
619	2612	1601
620	2616	1596
621	2621	1593
622	2626	1589
623	2630	1585
624	2634	1580
625	2639	1576
626	2643	1572
627	2647	1568
628	2651	1563
629	2654	1559
630	2658	1554
631	2662	1550
632	2665	1545
633	2669	1541
634	2673	1536
635	2677	1532
636	2681	1527
637	2685	1523
638	2689	1519
639	2694	1515
640	2698	1511
641	2702	1506
642	2706	1502
643	2710	1498
644	2714	1493
645	2717	1489
646	2721	1484
647	2725	1480
648	2729	1475
649	2732	1471
650	2736	1467
651	2740	1462
652	2743	1458
653	2747	1453
654	2751	1449
655	2755	1445
656	2759	1440
657	2763	1436
658	2766	1431
659	2770	1427
660	2773	1422
661	2777	1418
662	2781	1413
663	2785	1409
664	2789	1405
665	2793	1401
666	2797	1396
667	2801	1392
668	2805	1388
669	2809	1383
670	2813	1379
671	2816	1374
672	2821	1370
673	2825	1366
674	2829	1362
675	2832	1357
676	2836	1353
677	2840	1349
678	2844	1344
679	2849	1340
680	2853	1336
681	2857	1332
682	2861	1328
683	2865	1323
684	2870	1320
685	2874	1315
686	2878	1311
687	2882	1307
688	2887	1303
689	2891	1299
690	2896	1295
691	2899	1290
692	2903	1286
693	2907	1281
694	2910	1277
695	2915	1273
696	2918	1268
697	2922	1264
698	2926	1260
699	2930	1255
700	2934	1251
701	2937	1247
702	2941	1242
703	2945	1238
704	2949	1234
705	2953	1229
706	2957	1225
707	2961	1221
708	2965	1216
709	2969	1212
710	2972	1208
711	2976	1204
712	2980	1199
713	2984	1195
714	2988	1191
715	2992	1186
716	2996	1182
717	3000	1178
718	3004	1174
719	3008	1169
720	3012	1165
721	3016	1161
722	3019	1157
723	3023	1152
724	3027	1148
725	3031	1144
726	3036	1140
727	3041	1136
728	3045	1132
729	3050	1128
730	3053	1123
731	3057	1119
732	3061	1114
733	3064	1110
734	3068	1106
735	3073	1102
736	3077	1098
737	3081	1093
738	3085	1089
739	3089	1085
740	3092	1081
741	3096	1076
742	3100	1072
743	3103	1068
744	3107	1063
745	3111	1059
746	3115	1055
747	3119	1051
748	3123	1046
749	3127	1042
750	3131	1038
751	3135	1034
752	3139	1029
753	3143	1025
754	3147	1021
755	3151	1017
756	3155	1012
757	3159	1008
758	3162	1004
759	3166	1000
760	3170	995
761	3174	991
762	3178	987
763	3182	983
764	3185	978
765	3189	974
766	3193	970
767	3197	965
768	3201	961
769	3205	957
770	3209	953
771	3213	949
772	3217	944
773	3222	940
774	3225	936
775	3229	932
776	3233	927
777	3237	923
778	3241	919
779	3244	915
780	3249	911
781	3252	906
782	3256	902
783	3260	898
784	3263	893
785	3268	889
786	3272	885
787	3275	881
788	3280	877
789	3284	873
790	3288	868
791	3292	864
792	3296	860
793	3300	856
794	3304	852
795	3308	847
796	3312	843
797	3316	839
798	3320	835
799	3324	831
800	3328	826
801	3331	822
802	3335	818
803	3339	814
804	3343	809
805	3346	805
806	3350	801
807	3355	797
808	3358	793
809	3362	788
810	3366	784
811	3370	780
812	3373	776
813	3377	771
814	3381	767
815	3385	763
816	3389	759
817	3394	755
818	3397	750
819	3402	746
820	3406	742
821	3409	738
822	3414	734
823	3417	729
824	3421	725
825	3425	721
826	3429	717
827	3433	713
828	3437	709
829	3441	704
830	3445	700
831	3449	696
832	3455	692
833	3459	688
834	3464	684
835	3469	680
836	3473	676
837	3477	672
838	3481	668
839	3484	663
840	3488	659
841	3492	655
842	3496	651
843	3499	646
844	3503	642
845	3506	638
846	3510	634
847	3515	630
848	3519	626
849	3523	621
850	3528	617
851	3532	613
852	3536	609
853	3540	605
854	3543	601
855	3548	596
856	3551	592
857	3555	588
858	3559	584
859	3563	580
860	3567	575
861	3570	571
862	3574	567
863	3578	563
864	3582	559
865	3585	554
866	3589	550
867	3594	546
868	3597	542
869	3602	538
870	3606	534
871	3610	530
872	3615	525
873	3619	521
874	3623	517
875	3628	513
876	3632	509
877	3637	505
878	3641	501
879	3644	497
880	3648	492
881	3652	488
882	3656	484
883	3661	480
884	3665	476
885	3669	472
886	3673	468
887	3677	463
888	3682	459
889	3685	455
890	3689	451
891	3693	447
892	3696	442
893	3701	438
894	3705	434
895	3709	430
896	3712	426
897	3717	422
898	3722	418
899	3726	414
900	3730	409
901	3734	405
902	3738	401
903	3742	397
904	3745	393
905	3749	389
906	3753	384
907	3757	380
908	3762	376
909	3765	372
910	3769	368
911	3773	364
912	3777	359
913	3781	355
914	3784	351
915	3788	347
916	3792	343
917	3796	339
918	3800	334
919	3804	330
920	3808	326
921	3811	322
922	3815	318
923	3819	314
924	3822	309
925	3826	305
926	3830	301
927	3834	297
928	3837	293
929	3841	289
930	3845	284
931	3849	280
932	3852	276
933	3857	272
934	3861	268
935	3865	264
936	3869	260
937	3876	256
938	3881	252
939	3885	248
940	3889	243
941	3893	239
942	3896	235
943	3901	231
944	3905	227
945	3910	223
946	3914	219
947	3918	214
948	3921	210
949	3925	206
950	3929	202
951	3933	198
952	3937	194
953	3941	190
954	3945	185
955	3949	181
956	3954	177
957	3958	173
958	3962	169
959	3966	165
960	3969	161
961	3974	156
962	3978	152
963	3981	148
964	3985	144
965	3989	140
966	3993	136
967	3997	132
968	4001	128
969	4005	123
970	4009	119
971	4013	115
972	4017	111
973	4021	107
974	4025	103
975	4029	99
976	4032	94
977	4036	90
978	4040	86
979	4043	82
980	4047	78
981	4052	74
982	4056	70
983	4060	66
984	4064	61
985	4068	57
986	4072	53
987	4076	49
988	4080	45
989	4084	41
990	4088	37
991	4092	33
992	4095	28
993	4100	24
994	4104	20
995	4108	16
996	4111	12
997	4115	8
998	4119	4
999	4122	0
